Quantity,Name
1,Abrade
1,"Agadeem's Awakening // Agadeem, the Undercrypt"
1,Altar of Bhaal // Bone Offering
1,Arcane Signet
1,Baleful Mastery
1,Blasphemous Act
1,Bojuka Bog
1,"Calamity, Galloping Inferno"
1,Coiling Rebirth
1,Combustible Gearhulk
1,Command Tower
1,Corrupted Conviction
1,Cursed Mirror
1,Deadly Dispute
1,Deadly Rollick
1,"Deadpool, Trading Card"
1,Demand Answers
1,Disciple of Bolas
1,Dread Return
1,Dusk Legion Zealot
1,"Erebos, Bleak-Hearted"
1,Exotic Orchard
1,Fake Your Own Death
1,Feed the Swarm
1,Feign Death
1,Fellwar Stone
1,Glittering Stockpile
1,Grave Titan
1,Gray Merchant of Asphodel
1,"Gut, True Soul Zealot"
1,"Junji, the Midnight Sky"
1,"Kardur, Doomscourge"
1,Liliana's Standard Bearer
1,Living Death
1,Malakir Rebirth // Malakir Mire
1,Marionette Apprentice
1,Midnight Reaper
1,Mind Stone
1,Mirkwood Bats
1,Morbid Opportunist
1,Night's Whisper
1,Not Dead After All
1,Path of Ancestry
1,Phyrexian Delver
1,Rakdos Signet
1,Ravenous Chupacabra
1,Read the Bones
1,Red Elemental Blast
1,Redcap Gutter-Dweller
1,"Rionya, Fire Dancer"
1,Rogue's Passage
1,Ruthless Technomancer
1,Saw in Half
1,Shadowblood Ridge
1,"Shadowheart, Dark Justiciar"
1,Siege-Gang Commander
1,Smoldering Marsh
1,Sol Ring
1,Supernatural Stamina
1,"Syr Konrad, the Grim"
1,Tainted Peak
1,Talisman of Indulgence
1,Tarrian's Journal // The Tomb of Aclazotz
1,Temple of Malice
1,Temple of the False God
1,Vandalblast
1,Vein Ripper
1,Victimize
1,Village Rites
1,"Whisper, Blood Liturgist"
1,Withering Torment
1,Witty Roastmaster
1,"Zariel, Archduke of Avernus"
1,Zulaport Cutthroat
