Quantity,Name
1,Abrade
1,"Agadeem's Awakening // Agadeem, the Undercrypt"
1,Ambuscade Shaman
1,Apprentice Necromancer
1,Arcane Signet
1,Archetype of Aggression
1,"Ardoz, Cobbler of War"
1,Ashenmoor Liege
1,Baleful Mastery
1,Berserkers' Onslaught
1,Bitter Reunion
1,Black Sun's Zenith
1,Bloodcrusher of Khorne
1,Bojuka Bog
1,Bond of Revival
1,Castle Embereth
1,Chaos Warp
1,Combat Celebrant
1,Command Tower
1,Commander's Sphere
1,Commune with Lava
1,Crashing Drawbridge
1,Cursed Mirror
1,Curtains' Call
1,Electroduplicate
1,Exotic Orchard
1,Faithless Looting
1,Feed the Swarm
1,Feldon of the Third Path
1,Fellwar Stone
1,Ferocity of the Wilds
1,"Garna, Bloodfist of Keld"
1,"Garna, the Bloodflame"
1,Generator Servant
1,Glass of the Guildpact
1,Hagra Mauling // Hagra Broodpit
1,Heroes' Podium
1,Idol of Oblivion
1,Infernal Grasp
1,Invasion Plans
1,"Jaxis, the Troublemaker"
1,Light Up the Stage
1,Mimic Vat
1,Mind Stone
1,Mirage Phalanx
1,Mordor on the March
13,Mountain
1,Myriad Landscape
1,Night's Whisper
1,Ogre Battledriver
1,"Orthion, Hero of Lavabrink"
1,Path of Ancestry
1,Plague Wind
1,Rakdos Charm
1,Rakdos Joins Up
1,Rakdos Signet
1,Read the Bones
1,Reckless Endeavor
1,Red Elemental Blast
1,"Rionya, Fire Dancer"
1,Rising of the Day
1,Rogue's Passage
1,Seize the Spoils
1,Shadowblood Ridge
1,"Shadowheart, Dark Justiciar"
1,Sign in Blood
1,Smoldering Marsh
1,Sol Ring
1,Solemn Doomguide
1,Stinkdrinker Bandit
11,Swamp
1,Tainted Peak
1,Talisman of Indulgence
1,Temple of Malice
1,Temple of the False God
1,Terminate
1,"The Master, Multiplied"
1,Tome of Legends
1,Tragic Slip
1,Tuktuk Rubblefort
1,Vandalblast
1,Wild Magic Surge
1,Withering Torment
1,"Zariel, Archduke of Avernus"

